name,handedness,height,weight,avg,HR,new_avg,new_HR
Fred Whitfield,L,73,190,0.253,108,0.253,108
Larry Dierker,R,76,215,0.136,4,0.136,4
Dave Skaggs,R,74,200,0.241,3,0.241,3
Dick Ruthven,R,75,190,0.183,1,0.183,1
Jerry Garvin,L,75,195,0,0,0.0155,0.137
Steve Eddy,R,74,185,0,0,0.012,0.172
Dave Kingman,R,78,210,0.236,442,0.236,442
Eric Soderholm,R,71,187,0.264,102,0.264,102
Kevin Mmahat,L,77,220,0,0,0.0115,0.124
Ed Brinkman,R,72,170,0.224,60,0.224,60
Wayne Garrett,L,71,175,0.239,61,0.239,61
Tony Muser,L,74,180,0.259,7,0.259,7
Jim Siwy,R,76,200,0,0,0.0037,0.15
Bud Anderson,R,75,210,0,0,0.0146,0.11
Ted Ford,R,70,180,0.219,17,0.219,17
Kevin Stanfield,L,72,190,0,0,0.0028,0.128
Jim Lyttle,L,72,180,0.248,9,0.248,9
John Butcher,R,76,185,0,0,0.0042,0.113
Jerry Ujdur,R,73,195,0,0,0.0019,0.107
Scot Thompson,L,75,195,0.262,5,0.262,5
Gene Locklear,L,70,165,0.274,9,0.274,9
Bo Diaz,R,71,185,0.255,87,0.255,87
Bump Wills,B,69,172,0.266,36,0.266,36
Brian Denman,R,76,205,0,0,0.01,0.194
Pat Putnam,L,72,205,0.255,63,0.255,63
Kurt Bevacqua,R,72,180,0.236,27,0.236,27
Bob Fallon,L,75,200,0,0,0.0039,0.102
Syd O'Brien,R,73,185,0.23,24,0.23,24
Chris Chambliss,L,73,195,0.279,185,0.279,185
Tom Satriano,L,73,185,0.225,21,0.225,21
Jeffrey Leonard,R,74,200,0.266,144,0.266,144
Dal Maxvill,R,71,157,0.217,6,0.217,6
Steve Curry,R,78,217,0,0,0.0101,0.103
Cesar Tovar,R,69,155,0.278,46,0.278,46
Mickey Lolich,B,73,170,0.11,0,0.11,0
Ray Chadwick,B,74,180,0,0,0.0153,0.191
Jack Heidemann,R,72,175,0.211,9,0.211,9
Rich Rollins,R,70,185,0.269,77,0.269,77
Walt Bond,L,79,228,0.256,41,0.256,41
Merv Rettenmund,R,70,190,0.271,66,0.271,66
Bryan Clutterbuck,R,76,223,0,0,0.0033,0.143
Byron Browne,R,74,190,0.236,30,0.236,30
Hector Torres,R,72,175,0.216,18,0.216,18
Walt Williams,R,66,165,0.27,33,0.27,33
Jerry Koosman,R,74,205,0.119,2,0.119,2
Steve Lombardozzi,R,72,175,0.233,20,0.233,20
Joe Azcue,R,72,190,0.252,50,0.252,50
Elliott Maddox,R,71,180,0.261,18,0.261,18
Omar Moreno,L,74,180,0.252,37,0.252,37
Julian Javier,R,73,175,0.257,78,0.257,78
Tony Ferreira,L,73,160,0,0,0.0199,0.118
Elio Chacon,R,69,160,0.232,4,0.232,4
Rusty Torres,B,70,175,0.212,35,0.212,35
John Stearns,R,72,185,0.26,46,0.26,46
Larry Brown,R,70,160,0.233,47,0.233,47
Tommy Dean,R,72,165,0.18,4,0.18,4
Bryan Oelkers,L,75,192,0,0,0.0081,0.141
Kevin Bearse,L,74,195,0,0,0.0138,0.2
